SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
RS,87084,MONTE BELO DO SUL,902,5,81,1,85,1176,283,2803,131,2520,139
RS,87092,INDEPENDENCIA,1965,8,413,1,545,1314,858,5557,139,4699,314
RS,87106,MORMACO,497,5,125,0,262,729,302,2148,111,1846,117
RS,87114,IRAI,2473,17,372,4,526,1676,1395,6969,171,5574,335
RS,87122,MORRINHOS DO SUL,833,7,157,1,378,934,432,2979,97,2547,140
RS,87130,ITAQUI,9082,36,2417,5,3828,4827,4525,25908,359,21383,829
RS,87149,MORRO REUTER,1232,3,235,0,261,1608,308,4025,185,3717,193
RS,87157,ITATIBA DO SUL,1815,7,96,1,214,1014,668,4094,82,3426,197
RS,87165,MULITERNO,455,2,29,4,85,450,225,1427,76,1202,101
RS,87173,IVOTI,4438,39,1028,7,897,3330,925,11340,293,10415,383
RS,87181,NICOLAU VERGUEIRO,393,3,49,0,57,793,269,1739,73,1470,102
RS,87190,JACUTINGA,1073,3,116,1,145,882,300,2776,102,2476,154
RS,87203,NOVA BOA VISTA,731,4,140,1,208,490,146,1808,43,1662,45
RS,87211,JAGUARAO,7945,62,2028,6,1664,4724,3111,20994,497,17883,957
RS,87220,NOVA PADUA,500,16,98,2,91,1063,205,2157,67,1952,115
RS,87238,JAGUARI,3107,28,686,8,732,2806,1717,10149,467,8432,598
RS,87246,NOVA SANTA RITA,3893,29,809,5,1297,2468,1138,10297,258,9159,400
RS,87254,JULIO DE CASTILHOS,4410,22,727,1,1250,4639,2531,14842,438,12311,824
RS,87262,NOVO BARREIRO,1349,4,56,0,495,605,371,3102,31,2731,191
RS,87270,LAGOA VERMELHA,5523,41,1123,6,1704,6017,3104,19386,776,16282,1092
RS,87289,NOVO MACHADO,1131,2,158,1,642,1192,684,4075,75,3391,190
RS,87297,LAJEADO,17878,121,3641,19,3574,11850,4741,44840,1394,40099,1622
RS,87300,NOVO TIRADENTES,683,3,60,0,175,353,445,1874,51,1429,104
RS,87319,LAVRAS DO SUL,1805,6,503,2,445,2094,1239,6819,236,5580,489
RS,87327,PARECI NOVO,667,1,109,1,128,1111,216,2374,61,2158,80
RS,87335,LIBERATO SALZANO,1938,5,72,0,258,1189,1379,5310,143,3931,326
RS,87343,PASSO DO SOBRADO,1880,1,620,1,454,615,406,4387,180,3981,230
RS,87351,MACHADINHO,1430,4,181,1,225,1469,856,4618,81,3762,371
RS,87360,PICADA CAFE,1161,7,292,4,199,1313,281,3496,95,3215,144
RS,87378,MARAU,7773,49,896,6,1373,6395,2288,20591,781,18303,1030
RS,87386,PINHAL GRANDE,1330,5,184,0,182,938,531,3491,127,2960,194
RS,87394,MARCELINO RAMOS,1892,11,249,3,442,1015,789,4682,81,3893,200
RS,87408,PINHEIRINHO DO VALE,928,5,234,2,310,850,553,3168,96,2615,190
RS,87416,MARIANO MORO,900,1,81,0,97,451,164,1904,95,1740,115
RS,87424,PONTAO,1426,4,164,0,264,811,374,3199,48,2825,108
RS,87432,MATA,1037,10,208,1,225,1603,809,4498,267,3689,338
RS,87440,PONTE PRETA,683,5,53,0,128,549,215,1785,47,1570,105
RS,87459,MAXIMILIANO DE ALMEIDA,1504,7,249,0,389,1042,791,4442,146,3651,314
RS,87467,PORTO MAUA,880,3,136,0,194,564,363,2298,47,1935,111
RS,87475,MIRAGUAI,1385,10,226,0,284,959,1143,4375,85,3232,283
RS,87483,PORTO VERA CRUZ,755,1,100,0,105,561,393,2076,41,1683,120
RS,87491,MONTENEGRO,13545,78,2880,13,3299,10475,4147,37350,1152,33203,1761
RS,87505,PRESIDENTE LUCENA,610,7,178,1,100,631,160,1799,35,1639,77
RS,87513,MOSTARDAS,1662,16,630,3,889,2823,1072,7823,307,6751,421
RS,87521,QUEVEDOS,400,0,77,1,80,914,334,2061,100,1727,155
RS,87530,MUCUM,1238,3,172,1,219,1571,581,4217,196,3636,236
RS,87548,RIO DOS INDIOS,1252,7,86,2,325,758,957,3781,125,2824,269
RS,87556,NAO ME TOQUE,4316,9,609,5,610,3472,1302,10957,266,9655,368
RS,87564,SAGRADA FAMILIA,873,0,149,1,430,169,619,2414,50,1795,123
RS,87572,NONOAI,2694,5,694,2,994,1746,2180,9338,234,7158,789
RS,87580,SALVADOR DAS MISSOES,1023,6,128,3,195,525,332,2296,33,1964,51
RS,87599,NOVA ARACA,832,5,122,2,114,1035,278,2694,131,2416,175
RS,87602,SANTA CLARA DO SUL,1399,15,276,1,246,1465,389,4207,211,3818,205
RS,87610,NOVA BASSANO,2246,11,299,1,414,1860,741,6098,283,5357,243
RS,87629,SANTA TEREZA,685,1,196,1,68,442,207,1811,94,1604,117
RS,87637,NOVA BRESCIA,600,6,172,0,132,1122,436,2710,62,2274,180
RS,87645,SANTO ANTONIO DO PALMA,779,10,56,1,89,526,247,1890,74,1643,108
RS,87653,NOVA PALMA,2143,15,186,1,244,1455,568,4934,81,4366,241
RS,87661,SANTO ANTONIO DO PLANALTO,727,1,100,0,174,628,249,1992,32,1743,81
RS,87670,NOVA PETROPOLIS,3299,47,1347,8,947,5351,1363,13409,473,12046,574
RS,87688,SANTO EXPEDITO DO SUL,692,1,74,2,122,814,390,2303,82,1913,126
RS,87696,NOVA PRATA,4603,52,1042,13,1096,4250,1715,13735,482,12020,482
RS,87700,SAO JOAO DO POLESINE,919,3,132,2,134,688,365,2401,49,2036,109
RS,87718,NOVO HAMBURGO,61892,388,10717,50,18442,40967,14971,154641,3194,139670,4020
RS,87726,SAO JOSE DOS AUSENTES,470,5,118,0,178,939,566,2505,69,1939,160
RS,87734,OSORIO,9201,59,2190,5,2462,8306,3267,27606,915,24339,1201
RS,87742,SAO JOSE DO INHACORA,871,2,45,2,100,604,200,1950,52,1750,74
RS,87750,PAIM FILHO,1496,4,115,0,111,1002,609,3617,60,3008,220
RS,87769,SAO JOSE DAS MISSOES,1031,0,62,0,469,439,696,2994,61,2298,236
RS,87777,PALMEIRA DAS MISSOES,7362,32,1622,3,3454,4590,4248,23104,404,18856,1389
RS,87785,SAO MARTINHO DA SERRA,667,2,249,1,294,1007,485,2983,128,2498,150
RS,87793,PALMITINHO,2025,6,167,2,353,1515,893,5418,99,4525,358
RS,87807,SAO PEDRO DA SERRA,680,6,180,2,109,967,168,2305,73,2137,120
RS,87815,PANAMBI,9113,30,1265,10,4203,4656,3100,23634,512,20534,745
RS,87823,SAO PEDRO DO BUTIA,1085,1,165,1,230,519,366,2503,55,2137,81
RS,87831,PARAI,1274,25,201,2,280,1700,435,4463,351,4028,195
RS,87840,SAO VALENTIM DO SUL,828,10,73,5,92,611,259,2060,90,1801,92
RS,87858,PASSO FUNDO,50877,348,7449,59,9767,26646,13452,114255,2118,100803,3539
RS,87866,SAO VALERIO DO SUL,700,2,28,0,128,393,381,1792,40,1411,120
RS,87874,PEDRO OSORIO,2548,13,575,1,697,1073,1158,6652,257,5494,330
RS,87882,SENTINELA DO SUL,927,7,352,2,301,1364,653,4095,170,3442,319
RS,87890,PEJUCARA,1356,4,290,0,198,903,520,3474,67,2954,136
RS,87904,SERIO,627,5,136,1,203,737,251,2262,155,2011,147
RS,87912,PELOTAS,67945,1347,21995,113,39901,51510,28943,226295,6253,197352,8288
RS,87920,SERTAO SANTANA,736,9,473,0,399,1412,517,3854,123,3337,185
RS,87939,PINHEIRO MACHADO,3425,25,903,1,760,2628,1593,10399,449,8806,615
RS,87947,SINIMBU,2990,20,1512,5,858,750,1019,7828,257,6809,417
RS,87955,PIRATINI,3303,34,1318,4,1516,4377,2545,15162,1008,12617,1057
RS,87963,TIRADENTES DO SUL,2338,8,343,0,343,1308,1150,5971,155,4821,326
RS,87971,PLANALTO,2800,25,490,2,438,2137,1805,8436,276,6631,463
RS,87980,TRAVESSEIRO,811,0,107,2,51,725,296,2133,41,1837,100
RS,87998,PORTAO,6555,34,1066,6,1944,4671,1874,17443,588,15569,705
RS,88005,TRES FORQUILHAS,661,3,308,1,306,889,508,2932,120,2424,136
RS,88013,PORTO ALEGRE,381836,4750,97973,544,83409,261628,117806,992387,19869,874581,24572
RS,88021,TUPANCI DO SUL,427,6,66,0,86,524,404,1671,50,1267,108
RS,88030,PORTO LUCENA,1793,6,285,1,408,1264,824,4914,112,4090,221
RS,88048,UNIAO DA SERRA,621,4,105,0,79,455,268,1715,103,1447,80
RS,88056,PORTO XAVIER,2323,9,438,1,796,2468,1852,8657,239,6805,531
RS,88064,VALE DO SOL,3112,13,1321,2,1049,738,713,7739,339,7026,452
RS,88072,PUTINGA,987,4,268,2,222,1238,1037,4275,165,3238,352
RS,88080,VALE REAL,929,5,141,3,139,1475,275,3262,162,2987,133
RS,88099,QUARAI,6676,38,2067,2,1890,2947,2714,17451,436,14737,681
RS,88102,VILA NOVA DO SUL,1104,7,251,1,402,939,720,3848,160,3128,264
RS,88110,REDENTORA,1633,8,97,3,460,1481,1346,5595,120,4249,447
RS,88129,VITORIA DAS MISSOES,1464,3,390,0,274,429,738,3608,92,2870,218
RS,88137,RESTINGA SECA,4042,29,932,3,992,3577,1870,12433,369,10563,619
RS,88145,XANGRI-LA,2015,6,631,1,630,2348,1254,7259,149,6005,225
RS,88153,RIO GRANDE,53509,824,8809,58,13094,28232,16505,128453,3174,111948,4248
RS,88161,BOA VISTA DO SUL,744,3,125,0,103,901,263,2400,153,2137,108
RS,88170,RIO PARDO,11609,38,2285,1,1855,6237,3771,28191,858,24420,1537
RS,88188,DILERMANDO DE AGUIAR,712,8,195,0,179,867,507,2723,76,2216,179
RS,88196,ROCA SALES,2707,15,411,6,610,1907,1003,7405,384,6402,362
RS,88200,CAPIVARI DO SUL,623,1,225,0,203,854,269,2311,46,2042,90
RS,88218,RODEIO BONITO,1722,2,156,0,342,1074,855,4519,93,3664,275
RS,88226,NOVA CANDELARIA,1030,12,127,1,156,598,287,2367,98,2080,58
RS,88234,ROLANTE,4111,25,768,2,978,3814,1244,12078,488,10834,648
RS,88242,FLORIANO PEIXOTO,895,2,63,1,121,555,393,2174,46,1781,98
RS,88250,RONDA ALTA,3156,9,259,1,439,1889,1286,7485,143,6199,303
RS,88269,CHUVISCA,690,5,581,1,486,1356,407,3999,200,3592,273
RS,88277,RONDINHA,2026,6,115,4,231,1552,923,5139,89,4216,193
RS,88285,ESPERANCA DO SUL,1204,1,203,0,231,763,570,3142,56,2572,114
RS,88293,ROQUE GONZALES,2067,6,245,2,572,1680,1439,6539,159,5100,369
RS,88307,DOUTOR RICARDO,534,11,81,1,101,608,253,1826,91,1573,146
RS,88315,ROSARIO DO SUL,8792,65,3353,9,2620,8121,5978,31413,949,25435,1526
RS,88323,HERVEIRAS,1185,2,174,1,260,132,398,2412,68,2014,192
RS,88331,SALVADOR DO SUL,1234,8,450,4,252,1983,393,4675,151,4282,200
RS,88340,CARAA,1124,11,348,2,328,2186,876,5630,285,4754,470
RS,88358,SANANDUVA,2878,19,506,4,658,4995,1514,11568,411,10054,583
RS,88366,FAZENDA VILANOVA,715,2,131,1,221,637,301,2297,133,1996,156
RS,88374,SANTA BARBARA DO SUL,2473,4,426,1,837,2033,1179,7384,161,6205,270
RS,88382,ITAARA,953,12,278,0,397,1120,534,3611,100,3077,217
RS,88390,SANTA CRUZ DO SUL,37484,233,10465,28,8678,10228,7746,79392,2121,71646,2409
RS,88404,ESTRELA VELHA,1005,7,78,0,119,977,361,2806,114,2445,145
RS,88412,SANTA MARIA,59328,646,15814,61,19987,43116,23084,171402,4478,148318,4888
RS,88420,BENJAMIN CONSTANT DO SUL,784,1,32,1,118,348,392,1854,61,1462,117
RS,88439,SANTANA DA BOA VISTA,1292,36,690,2,593,2165,1425,7550,666,6125,681
RS,88447,MACAMBARA,874,3,310,1,408,745,596,3233,63,2637,233
RS,88455,SANTANA DO LIVRAMENTO,24022,153,8633,23,6586,13317,10419,66087,1265,55668,1669
RS,88463,DOM PEDRO DE ALCANTARA,1064,11,209,1,193,643,311,2596,51,2285,113
RS,88471,SANTA ROSA,17944,57,2751,7,5196,10159,6773,44742,597,37969,1258
RS,88480,UNISTALDA,529,4,184,1,369,792,440,2605,105,2165,181
RS,88498,SANTA VITORIA DO PALMAR,9885,76,2648,7,1693,3575,3359,22845,622,19486,980
RS,88501,TURUCU,618,1,287,1,327,1284,265,3044,77,2779,184
RS,88510,SANTIAGO,11381,65,2645,5,3683,9772,5789,36476,1456,30687,1680
RS,88528,CRISTAL DO SUL,977,1,63,0,203,492,445,2403,58,1958,164
RS,88536,SANTO ANGELO,23204,99,5355,12,5760,8836,9956,56295,1159,46339,1914
RS,88544,MUITOS CAPOES,374,6,111,0,111,1026,377,2245,106,1868,134
RS,88552,SANTO ANTONIO DA PATRULHA,6148,49,2569,9,1629,10429,3339,27428,1399,24089,1857
RS,88560,NOVA RAMADA,921,3,117,0,258,508,279,2261,43,1982,132
RS,88579,SANTO ANTONIO DAS MISSOES,3323,9,695,1,1013,1686,2094,9644,352,7550,471
RS,88587,JARI,566,3,122,2,153,1104,357,2723,171,2366,245
RS,88595,SANTO AUGUSTO,4311,16,616,1,959,2352,2388,11509,259,9121,607
RS,88609,UBIRETAMA,646,6,124,0,463,492,273,2137,36,1864,97
RS,88617,SANTO CRISTO,5251,16,344,3,708,3847,1422,12150,174,10728,385
RS,88625,BARRA DO QUARAI,1152,1,298,2,204,400,509,2693,34,2184,93
RS,88633,SAO BORJA,18310,72,4465,9,3171,8598,8866,46075,999,37209,1585
RS,88641,CERRITO,1525,13,506,4,647,1489,912,5743,291,4831,356
RS,88650,SAO FRANCISCO DE ASSIS,4118,17,959,4,995,5293,2907,16099,880,13192,926
RS,88668,VALE VERDE,793,1,250,1,163,591,305,2351,103,2046,144
RS,88676,SAO FRANCISCO DE PAULA,3880,28,828,5,1098,5483,2378,15211,625,12833,886
RS,88684,NOVO CABRAIS,1066,5,424,2,321,776,259,3076,86,2817,137
RS,88692,SAO GABRIEL,12554,125,6473,8,4942,7764,7492,42449,1299,34957,1792
RS,88706,SETE DE SETEMBRO,843,1,48,0,136,549,293,1998,29,1705,99
RS,88714,SAO JERONIMO,4420,31,1499,1,1564,4144,2201,15046,441,12845,745
RS,88722,TABAI,793,7,192,0,272,1070,489,3171,158,2682,190
RS,88730,SAO JOSE DO NORTE,4154,74,1046,3,2037,7266,2110,18268,597,16158,981
RS,88749,VILA LANGARO,780,4,42,3,146,718,180,2030,67,1850,90
RS,88757,SAO JOSE DO OURO,1558,12,280,3,271,2096,867,5662,245,4795,330
RS,88765,SENADOR SALGADO FILHO,555,2,172,0,568,661,329,2444,32,2115,125
RS,88773,SAO LEOPOLDO,60740,394,8823,49,13506,26872,14901,131736,2809,116835,3642
RS,88781,VESPASIANO CORREA,403,7,45,0,54,1071,312,2170,130,1858,148
RS,88790,SAO LOURENCO DO SUL,10675,88,3656,19,2752,9249,4121,32810,928,28689,1322
RS,88803,MONTE ALEGRE DOS CAMPOS,607,4,204,1,321,915,709,3146,170,2437,215
RS,88811,SAO LUIS GONZAGA,9576,38,1750,4,2831,4970,5683,26899,812,21216,1235
RS,88820,MARQUES DE SOUZA,1349,4,320,2,197,1086,468,3699,127,3231,146
RS,88838,SAO MARCOS,3927,59,986,5,1007,5142,1664,14203,704,12539,709
RS,88846,CHUI,1568,16,270,0,126,364,639,3143,57,2504,103
RS,88854,SAO MARTINHO,1987,7,373,2,382,1063,591,4763,123,4172,235
RS,88862,ARARICA,1175,5,133,1,336,777,322,2944,85,2622,110
RS,88870,SAO NICOLAU,1425,4,218,1,532,1048,1436,5201,153,3765,384
RS,88889,PASSA SETE,1277,8,390,1,263,920,544,3784,187,3240,194
RS,88897,SAO PAULO DAS MISSOES,2306,4,235,2,612,1067,991,5557,131,4566,209
RS,88900,TOROPI,609,5,237,0,189,1030,369,2701,125,2332,137
RS,88919,SAO PEDRO DO SUL,3872,22,1008,8,992,4291,2434,14027,686,11593,714
RS,88927,BALNEARIO PINHAL,1460,11,498,1,526,1569,1308,5730,93,4422,264
RS,88935,SAO SEBASTIAO DO CAI,6021,26,1041,1,1105,5159,1652,16095,429,14443,661
RS,88943,MAMPITUBA,912,5,196,0,211,697,523,2747,69,2224,134
RS,88951,SAO SEPE,5847,62,1792,5,1186,5151,2878,18669,793,15791,955
RS,88978,SAO VALENTIM,1390,2,135,0,190,1055,592,3636,71,3044,201
RS,88986,ACEGUA,887,4,226,0,383,1220,513,3397,48,2884,116
RS,88994,SAPIRANGA,20268,80,2278,11,5949,11181,4789,47518,1209,42729,1753
RS,89001,ALMIRANTE TAMANDARE DO SUL,728,4,110,0,79,594,191,1810,40,1619,64
RS,89010,SAPUCAIA DO SUL,44936,306,5430,35,9203,15953,8672,88923,1936,80251,2452
RS,89028,ARROIO DO PADRE,198,8,283,3,501,882,231,2207,40,1976,61
RS,89036,SARANDI,4844,20,984,5,1969,3098,2474,14370,360,11896,616
RS,89044,BOA VISTA DO CADEADO,467,0,92,0,169,621,276,1771,73,1495,73
RS,89052,SEBERI,2742,11,455,3,720,2464,1770,9076,358,7306,553
RS,89060,BOA VISTA DO INCRA,674,2,95,0,151,609,223,1839,47,1616,38
RS,89079,SELBACH,1231,11,147,2,238,1431,440,3756,80,3316,176
RS,89087,BOZANO,768,2,183,0,128,570,186,1919,26,1733,56
RS,89095,SERAFINA CORREA,3307,28,306,4,535,2344,902,8342,480,7440,436
RS,89109,CANUDOS DO VALE,519,5,117,0,119,551,238,1712,69,1474,94
RS,89117,SERTAO,1646,12,248,0,481,2061,826,5781,179,4955,328
RS,89125,CAPAO BONITO DO SUL,460,2,119,0,121,723,367,1966,50,1599,124
RS,89133,SEVERIANO DE ALMEIDA,1513,3,159,3,137,819,365,3279,111,2914,169
RS,89141,CAPAO DO CIPO,583,1,91,0,113,713,276,1965,66,1689,122
RS,89150,CAPAO DA CANOA,6172,28,2091,3,2052,6637,3164,21604,609,18440,848
RS,89168,COQUEIRO BAIXO,258,4,95,1,55,573,446,1585,44,1139,109
RS,89176,SOBRADINHO,3016,18,692,2,654,3475,1457,10177,298,8720,565
RS,89184,CORONEL PILAR,410,3,60,0,85,656,201,1601,103,1400,83
RS,89192,SOLEDADE,6829,30,1297,1,1720,5688,3305,20832,817,17527,1145
RS,89206,CRUZALTENSE,848,2,69,3,85,569,320,2062,70,1742,96
RS,89214,TAPEJARA,3516,25,482,7,782,3835,968,10432,336,9464,481
RS,89222,FORQUETINHA,531,3,170,1,123,823,278,2198,109,1920,160
RS,89230,TAPERA,2932,20,479,0,483,2063,947,7538,237,6591,377
RS,89247,SANTA CECILIA DO SUL,511,2,59,2,117,390,119,1302,33,1183,69
RS,89249,ITATI,531,2,149,1,249,913,634,2815,114,2181,222
RS,89257,TAPES,3833,26,1226,1,971,3239,2007,12316,388,10309,625
RS,89265,JACUIZINHO,586,3,105,1,171,510,322,1889,50,1567,141
RS,89273,TAQUARA,10310,69,2643,13,3712,12008,4193,35314,944,31121,1422
RS,89281,LAGOA BONITA DO SUL,930,3,97,0,135,545,231,2151,80,1920,130
RS,89290,TAQUARI,6466,32,1103,5,2748,4805,2131,18759,692,16628,777
RS,89303,MATO QUEIMADO,844,1,50,1,92,327,325,1761,38,1436,83
RS,89311,TENENTE PORTELA,3487,13,405,2,531,3167,2016,10384,131,8368,632
RS,89320,NOVO XINGU,663,0,31,1,106,372,357,1628,23,1271,75
RS,89338,TORRES,7567,83,1900,5,1758,5681,2984,21387,629,18403,780
RS,89346,PAULO BENTO,854,1,107,1,144,341,187,1780,53,1593,92
RS,89354,TRAMANDAI,7242,49,1870,5,2168,6020,3901,22690,510,18789,925
RS,89362,PINHAL DA SERRA,497,2,88,0,125,527,421,1897,97,1476,140
RS,89370,TRES COROAS,5071,25,841,8,1219,4046,1293,13857,552,12564,802
RS,89389,QUATRO IRMAOS,658,4,60,0,58,363,183,1447,36,1264,85
RS,89397,TRES DE MAIO,6682,18,1286,8,1656,5005,3089,18824,387,15735,693
RS,89400,ROLADOR,810,4,64,1,364,532,507,2520,105,2013,133
RS,89419,TRES PASSOS,7848,28,1112,2,1181,4674,3188,19057,364,15869,660
RS,89435,TRIUNFO,4854,46,1834,5,2077,5609,2634,19028,772,16394,1197
RS,89443,SANTA MARGARIDA DO SUL,728,7,337,0,269,708,482,2774,88,2292,155
RS,89451,TUCUNDUVA,1873,11,259,2,400,1528,793,5171,88,4378,217
RS,89460,SAO JOSE DO SUL,509,9,171,1,62,586,150,1660,64,1510,108
RS,89478,TUPANCIRETA,5034,18,932,1,1079,4627,2241,15342,511,13101,899
RS,89486,SAO PEDRO DAS MISSOES,535,1,58,0,247,318,306,1643,32,1337,146
RS,89494,TUPARENDI,3348,10,345,0,566,1663,1075,7555,272,6480,276
RS,89508,TIO HUGO,705,2,89,1,72,568,158,1739,63,1581,81
RS,89516,URUGUAIANA,24112,224,10653,24,8086,22512,12542,82100,1522,69558,2425
RS,89524,WESTFALIA,802,4,178,1,131,666,191,2125,90,1934,62
RS,89532,VACARIA,10795,86,2193,15,3683,13301,5621,39300,1720,33679,1886
RS,89540,PINTO BANDEIRA,696,11,125,0,67,723,209,1999,83,1790,85
RS,89559,VENANCIO AIRES,20847,96,4225,16,3975,7331,4466,45084,2129,40618,1999
RS,89567,PEDRAS ALTAS,568,2,108,0,99,580,396,1914,42,1518,119
RS,89575,VERA CRUZ,7472,24,2141,4,1753,1519,1350,15335,484,13985,588
RS,89591,VERANOPOLIS,4487,51,1287,4,1073,5091,1622,15219,867,13597,737
RS,89613,VIADUTOS,1912,21,317,7,471,953,660,4698,162,4038,195
RS,89630,VIAMAO,46576,575,12046,59,16549,36093,13615,134281,3855,120666,4913
RS,89656,VICENTE DUTRA,1287,4,228,2,599,930,963,4400,104,3437,283
RS,89672,PALMARES DO SUL,2662,12,1037,2,817,2415,1453,8962,176,7509,388
RS,89699,VICTOR GRAEFF,951,15,121,0,164,932,295,2617,65,2322,74
RS,89710,TAVARES,760,5,376,1,553,1625,587,4320,167,3733,246
RS,89737,CAPAO DO LEAO,5344,83,1260,7,3114,3081,2031,16168,537,14137,711
RS,89753,SALTO DO JACUI,3128,6,314,3,587,2106,1233,8075,229,6842,469
RS,89770,COTIPORA,1106,16,317,2,142,988,402,3421,259,3019,189
RS,98213,TEUTONIA,6491,43,1128,5,1612,4545,1539,16618,596,15079,659
RS,98230,BOM PRINCIPIO,2092,11,479,8,384,2815,510,6838,272,6328,267
RS,98256,PAROBE,13054,36,1825,2,3551,5814,2823,29058,729,26235,1224
RS,98272,FORTALEZA DOS VALOS,1672,3,191,0,219,923,430,3668,85,3238,145
RS,98299,JOIA,1911,12,365,2,653,1487,784,5675,174,4891,287
SC,80004,MONTE CARLO,2792,6,189,2,462,992,1230,6406,206,5176,527
SC,80012,ABELARDO LUZ,4916,17,510,4,868,1485,2316,11175,290,8859,769
SC,80020,IPORA DO OESTE,3240,14,267,1,286,659,1054,5932,126,4878,285
SC,80039,AGROLANDIA,1821,18,416,2,564,1466,689,5531,189,4842,366
SC,80047,LINDOIA DO SUL,2389,11,127,4,148,315,500,3768,79,3268,195
SC,80055,AGRONOMICA,1127,11,149,1,245,877,172,2827,64,2655,181
SC,80063,APIUNA,2633,16,476,4,556,1169,992,6428,221,5436,361
SC,80071,AGUA DOCE,2081,23,170,2,355,989,781,4852,90,4071,361
SC,80080,DOUTOR PEDRINHO,975,12,89,2,228,680,272,2506,86,2234,162
SC,80098,AGUAS DE CHAPECO,2164,12,106,2,683,344,857,4583,170,3726,245
SC,80101,JOSE BOITEUX,1058,12,147,3,396,751,540,3254,93,2714,254
SC,80110,AGUAS MORNAS,1136,31,257,5,335,1716,206,4165,178,3959,301
SC,80128,VITOR MEIRELES,1506,10,173,3,549,691,794,4090,63,3296,301
SC,80136,ALFREDO WAGNER,1546,29,216,1,611,2788,992,6817,185,5825,449
SC,80144,UNIAO DO OESTE,1315,9,111,0,194,396,492,2763,78,2271,168
SC,80152,ANCHIETA,2649,10,146,1,326,772,1502,5813,98,4311,309
SC,80160,URUPEMA,691,15,163,0,101,506,182,1890,45,1708,187
SC,80179,ANGELINA,1455,27,293,2,472,1426,361,4515,99,4154,380
SC,80187,IRACEMINHA,1666,27,250,2,366,478,723,3836,93,3113,231
SC,80195,ANITA GARIBALDI,1847,16,356,0,440,1906,2028,7472,227,5444,652
SC,80209,TIMBO GRANDE,1006,4,158,1,685,969,916,4238,95,3322,404
SC,80217,ANITAPOLIS,822,16,122,2,180,845,273,2490,96,2217,134
SC,80225,ABDON BATISTA,765,13,117,0,151,636,233,2159,62,1926,182
SC,80233,ANTONIO CARLOS,1795,28,463,2,247,1526,253,4707,119,4454,274
SC,80241,SANTA ROSA DO SUL,2507,10,256,2,810,914,889,5900,169,5011,343
SC,80250,ARAQUARI,4254,33,290,6,1278,1718,1723,10034,212,8311,520
SC,80268,CELSO RAMOS,768,8,132,1,137,413,249,1941,85,1692,148
SC,80276,ARARANGUA,18006,124,2096,11,4839,5226,5570,38141,695,32571,1574
SC,80284,SERRA ALTA,1422,5,68,0,64,285,423,2491,87,2068,137
SC,80292,ARMAZEM,1950,24,479,1,443,1036,753,5172,149,4419,337
SC,80306,COCAL DO SUL,6060,42,309,3,805,868,1251,9868,151,8617,379
SC,80314,ARROIO TRINTA,1445,17,185,2,189,386,344,2788,64,2444,156
SC,80322,NOVA ITABERABA,1953,13,70,1,339,407,536,3567,77,3031,171
SC,80330,ASCURRA,2406,15,268,1,488,911,704,5308,225,4604,290
SC,80349,SANTA TEREZINHA,2845,21,441,2,358,775,831,5793,143,4962,377
SC,80357,ATALANTA,1122,13,184,7,412,618,349,2918,61,2569,152
SC,80365,MIRIM DOCE,918,4,100,0,210,369,217,2013,28,1796,167
SC,80373,AURORA,1815,18,175,3,509,789,518,4130,107,3612,196
SC,80381,CERRO NEGRO,793,4,182,1,315,639,938,3274,128,2336,274
SC,80390,BALNEARIO DE CAMBORIU,19951,234,4479,13,6415,11953,9485,55206,981,45721,1695
SC,80403,PASSO DE TORRES,1229,8,272,0,399,801,562,3558,75,2996,212
SC,80411,BARRA VELHA,2813,24,560,5,1873,2216,2171,10634,291,8463,681
SC,80420,BRACO DO TROMBUDO,575,9,94,1,222,1119,351,2616,56,2265,189
SC,80438,BENEDITO NOVO,2680,25,506,3,583,2004,625,7038,203,6413,409
SC,80446,SUL BRASIL,1294,5,132,2,254,103,407,2388,29,1981,162
SC,80454,BIGUACU,11528,221,1418,8,3246,6538,3261,28892,977,25631,1695
SC,80462,VARGEM,613,0,117,1,244,819,643,2760,76,2117,247
SC,80470,BLUMENAU,67709,1822,15423,83,19774,48959,19661,184132,3859,164471,6842
SC,80489,ARABUTA,1947,12,160,2,171,461,295,3261,68,2966,145
SC,80497,BOM RETIRO,1769,37,311,1,416,1863,1061,6191,191,5130,542
SC,80500,AGUAS FRIAS,1308,3,80,0,118,221,334,2180,33,1846,83
SC,80519,BOTUVERA,1626,10,145,0,75,520,153,2876,148,2723,199
SC,80527,GUATAMBU,1818,4,125,0,313,643,485,3774,64,3289,322
SC,80535,BRACO DO NORTE,7626,75,962,9,1052,4462,1729,17341,491,15612,935
SC,80543,PLANALTO ALEGRE,1098,6,64,1,212,205,152,1881,37,1729,106
SC,80551,BRUSQUE,27731,244,5828,28,4004,9480,5103,54864,871,49761,1575
