SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,63479,CONCHAS,2151,1,27,3,6,19,2,1944,60,4865,112,3813,13776,356,9963,417
SP,63495,CORDEIRÓPOLIS,2521,8,73,3,5,36,2,3629,202,5848,270,3313,17384,775,14071,699
SP,63517,COROADOS,807,5,18,1,0,4,0,800,15,1442,19,776,4116,120,3340,109
SP,63533,CORONEL MACEDO,1470,0,5,1,4,7,0,431,13,1287,17,888,4341,108,3453,110
SP,63550,CORUMBATAÍ,367,1,16,0,0,2,0,413,18,1421,16,297,2771,103,2474,117
SP,63576,COSMÓPOLIS,9835,14,242,10,44,188,2,10087,598,9243,501,9383,44308,2132,34925,2029
SP,63592,COSMORAMA,1314,0,7,1,0,9,0,401,26,2835,35,1128,6082,197,4954,129
SP,63614,COTIA,29400,82,976,52,239,804,17,29588,1344,44671,3056,25621,148772,6576,123151,6346
SP,63630,CRAVINHOS,2915,13,76,7,2,48,2,3658,120,10249,276,5275,24711,985,19436,1085
SP,63657,CRISTAIS PAULISTA,1242,1,6,4,1,10,0,797,19,2973,62,1446,6922,183,5476,178
SP,63673,CRUZÁLIA,492,0,6,0,0,7,0,222,6,997,13,408,2216,29,1808,36
SP,63690,CRUZEIRO,8570,20,315,10,66,245,2,12498,391,19265,771,12059,59117,2075,47058,2830
SP,63711,CUBATÃO,25944,57,793,24,41,597,8,24907,439,16237,1203,18596,95161,2861,76565,3454
SP,63738,CUNHA,5621,2,63,4,6,32,3,2485,48,4659,73,5190,19391,582,14201,623
SP,63754,DESCALVADO,2357,9,73,12,5,48,4,3436,174,10996,313,5268,25201,1214,19933,1292
SP,63770,DIADEMA,97467,217,1880,123,88,1872,44,65134,3881,60407,5605,56444,325070,14766,268626,17142
SP,63797,DIVINOLÂNDIA,1714,0,6,1,2,16,1,728,41,4463,79,2180,10199,473,8019,495
SP,63819,DOBRADA,1420,1,12,0,1,7,0,828,13,1788,59,1031,5570,211,4539,199
SP,63835,DOIS CÓRREGOS,1843,3,158,4,8,42,2,2675,130,8236,120,4442,18983,753,14541,567
SP,63851,DOLCINÓPOLIS,948,2,0,0,0,0,0,187,0,524,10,430,2241,60,1811,80
SP,63878,DOURADO,962,1,13,0,1,13,0,816,45,3094,91,1618,7406,400,5788,352
SP,63894,DRACENA,5791,6,102,6,7,64,2,4570,186,14324,182,6671,33814,1049,27143,854
SP,63916,DUARTINA,1812,2,34,0,1,28,1,1481,60,3911,84,2002,10058,311,8056,331
SP,63932,DUMONT,949,4,14,0,0,8,0,851,7,2875,46,1238,6508,271,5270,245
SP,63959,ECHAPORÃ,1116,4,28,4,1,13,0,661,14,1876,33,1299,5315,127,4016,139
SP,63975,ELDORADO,3665,2,46,3,0,33,1,1029,27,2633,31,3810,11798,191,7988,327
SP,63991,ELIAS FAUSTO,2801,2,70,2,1,24,0,2190,51,4039,102,2841,13283,611,10442,549
SP,64017,EMBU DAS ARTES,41008,108,944,42,66,978,20,36486,805,37695,3061,12840,149651,7905,136811,7693
SP,64033,EMBU-GUAÇU,11573,24,609,7,15,301,4,8930,279,13317,684,10443,50960,2418,40517,2356
SP,64050,ESTRELA D'OESTE,1239,10,11,4,1,10,0,831,22,2872,35,1405,6944,259,5539,245
SP,64076,ESTRELA DO NORTE,586,0,7,0,0,6,0,262,6,1056,16,513,2557,55,2044,50
SP,64092,FARTURA,2303,3,15,2,2,10,0,1392,62,5204,149,3002,12833,362,9831,327
SP,64114,FERNANDÓPOLIS,12893,16,130,13,7,74,1,5312,162,17096,437,11543,50930,1779,39387,1467
SP,64130,FERNANDO PRESTES,868,3,12,0,0,1,0,267,12,2279,48,1009,4878,230,3869,149
SP,64157,FERRAZ DE VASCONCELOS,29341,74,685,32,110,929,20,30867,586,21889,2063,22081,120730,5832,98649,6221
SP,64173,FLORA RICA,497,1,7,0,0,1,0,299,2,488,5,449,1820,41,1371,30
SP,64190,FLOREAL,625,0,2,0,0,5,1,180,5,1174,16,510,2675,67,2165,90
SP,64211,FLÓRIDA PAULISTA,1809,0,27,1,4,8,0,997,44,3302,30,1570,8357,327,6787,238
SP,64238,FLORÍNEA,743,0,9,0,0,6,0,347,4,928,11,524,2674,56,2150,46
