SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 18, 'Rede Sustentabilidade')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27715,JAPARATINGA,0,1183,0,0,0,1997,0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,0,0,0,124,37,12,0,0,0,0,0,0,1159,5685,560,4526,604
AL,27731,JARAMATAIA,0,1090,0,0,0,1718,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,51,20,5,0,0,0,0,0,0,794,4202,151,3408,365
AL,27758,JOAQUIM GOMES,0,2624,0,0,0,4139,0,0,0,2,0,10,0,0,0,0,0,0,0,0,15,0,0,0,336,120,10,0,0,0,0,0,0,2432,11811,803,9379,1320
AL,27774,JUNDIÁ,0,948,0,0,0,1310,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,74,52,8,0,0,0,0,0,0,971,3826,179,2855,278
AL,27790,JUNQUEIRO,0,5996,0,0,0,4933,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,0,0,0,202,51,6,0,0,0,0,0,0,3982,17049,784,13067,1069
AL,27812,LAGOA DA CANOA,0,3160,0,0,0,5312,0,0,0,3,0,8,0,0,0,0,0,0,0,0,18,0,0,0,179,115,10,0,0,0,0,0,0,1954,12380,535,10426,1086
AL,27839,LIMOEIRO DE ANADIA,0,6481,0,0,0,3681,0,0,0,4,0,8,0,0,0,0,0,0,0,0,13,0,0,0,190,87,10,0,0,0,0,0,0,2953,15261,678,12308,1156
AL,27855,MACEIÓ,0,95690,0,0,0,148527,0,0,0,765,0,2228,0,0,0,0,0,0,0,0,5679,0,0,0,51552,43692,1085,0,0,0,0,0,0,89605,551253,43357,461648,69073
AL,27871,MAJOR ISIDORO,0,2950,0,0,0,5359,0,0,0,6,0,16,0,0,0,0,0,0,0,0,83,0,0,0,316,113,12,0,0,0,0,0,0,3072,13519,535,10447,1057
AL,27898,MARAGOGI,0,5936,0,0,0,4315,0,0,0,5,0,12,0,0,0,0,0,0,0,0,12,0,0,0,248,135,26,0,0,0,0,0,0,3151,17351,1868,14200,1643
AL,27910,MARAVILHA,0,704,0,0,0,3691,0,0,0,2,0,3,0,0,0,0,0,0,0,0,11,0,0,0,126,61,11,0,0,0,0,0,0,1568,7089,247,5521,665
AL,27936,MARECHAL DEODORO,0,6038,0,0,0,11772,0,0,0,29,0,41,0,0,0,0,0,0,0,0,115,0,0,0,1543,878,31,0,0,0,0,0,0,6280,31717,2022,25437,2968
AL,27952,MARIBONDO,0,1898,0,0,0,3574,0,0,0,6,0,11,0,0,0,0,0,0,0,0,17,0,0,0,417,116,13,0,0,0,0,0,0,2059,9847,625,7788,1111
AL,27979,MAR VERMELHO,0,328,0,0,0,1410,0,0,0,39,0,3,0,0,0,0,0,0,0,0,4,0,0,0,107,30,5,0,0,0,0,0,0,563,3007,186,2444,332
AL,27995,MATA GRANDE,0,4490,0,0,0,4698,0,0,0,8,0,9,0,0,0,0,0,0,0,0,2,0,0,0,127,73,11,0,0,0,0,0,0,3642,15096,707,11454,1329
AL,28010,MATRIZ DE CAMARAGIBE,0,3335,0,0,0,6144,0,0,0,1,0,5,0,0,0,0,0,0,0,0,36,0,0,0,956,144,16,0,0,0,0,0,0,3658,16484,1038,12826,1151
AL,28037,MESSIAS,0,2507,0,0,0,4651,0,0,0,17,0,10,0,0,0,0,0,0,0,0,14,0,0,0,336,163,9,0,0,0,0,0,0,2060,11413,629,9353,1017
