STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PE,26034,TERRA NOVA,57,4376,3,0,1,12,691,48,829,6816,5987,163,637
PE,26050,TIMBAÚBA,400,21955,19,1,2,17,5935,605,10437,42736,32299,1118,2249
PE,26077,TORITAMA,191,7507,10,30,0,10,4167,274,2736,16753,14017,860,968
PE,26093,TRACUNHAÉM,75,4791,3,1,1,9,1910,131,2110,10198,8088,358,810
PE,26115,TRINDADE,116,8777,6,1,1,12,2215,127,4140,16870,12730,356,1120
PE,26131,TRIUNFO,157,6876,5,1,2,6,746,143,1918,10832,8914,245,735
PE,26158,TUPANATINGA,151,6506,8,2,2,20,1481,89,4065,14347,10282,453,1572
PE,26174,TUPARETAMA,75,4114,0,2,1,7,523,49,933,6485,5552,186,596
PE,26190,VENTUROSA,127,6656,0,1,0,8,1246,90,2370,11835,9465,301,1036
PE,26212,VERDEJANTE,46,3506,1,0,1,13,1349,53,1957,7859,5902,163,771
PE,26239,VERTENTES,167,5265,6,35,4,15,2840,194,1796,12036,10240,616,1102
PE,26255,VICÊNCIA,222,10374,12,3,3,22,2969,235,5569,22004,16435,766,1832
PE,26271,VITÓRIA DE SANTO ANTÃO,1017,43018,58,19,3,68,18033,1762,14629,87573,72944,3388,5581
PE,26298,CAMARAGIBE,1355,53151,126,32,7,52,19369,4024,12938,99675,86737,3974,4654
PE,26310,ABREU E LIMA,702,43225,53,7,2,40,9869,2123,10870,71978,61108,2130,2959
PE,26336,ITAPISSUMA,152,9697,6,2,0,3,1811,218,2546,15749,13203,595,719
PE,30015,FERNANDO DE NORONHA,27,743,2,0,0,4,354,111,383,1752,1369,49,79
PI,10006,BRASILEIRA,46,2037,1,0,1,2,1920,71,1276,5848,4572,98,397
PI,10014,AGRICOLÂNDIA,51,2585,4,1,1,1,707,67,620,4385,3765,63,286
PI,10022,ALEGRETE DO PIAUÍ,22,2234,1,0,0,1,319,32,634,3490,2856,28,219
PI,10030,ÁGUA BRANCA,131,6413,7,2,1,9,1424,174,1911,11083,9172,199,813
